,Import_Electricity_(kW),Export_Electricity_(kW)
01/01/2020 00:00,869.3398717,0
01/01/2020 00:30,855.3955611,0
01/01/2020 01:00,858.5996827,0
01/01/2020 01:30,861.2053506,0
01/01/2020 02:00,851.4504784,0
01/01/2020 02:30,920.3222075,0
01/01/2020 03:00,938.430751,0
01/01/2020 03:30,821.8933258,0
01/01/2020 04:00,718.3751448,0
01/01/2020 04:30,614.6996914,0
01/01/2020 05:00,520.7312575,0
01/01/2020 05:30,417.3237497,0
01/01/2020 06:00,333.1904832,0
01/01/2020 06:30,239.4463081,0
01/01/2020 07:00,145.3701135,0
01/01/2020 07:30,41.81698308,0
01/01/2020 08:00,0,42.36288265
01/01/2020 08:30,0,145.8956259
01/01/2020 09:00,0,239.8349353
01/01/2020 09:30,0,324.3293458
01/01/2020 10:00,0,466.1542759
01/01/2020 10:30,0,569.8268169
01/01/2020 11:00,0,550.948669
01/01/2020 11:30,0,532.2394433
01/01/2020 12:00,0,513.23606
01/01/2020 12:30,0,494.4423732
01/01/2020 13:00,0,484.8664141
01/01/2020 13:30,0,456.7443265
01/01/2020 14:00,0,447.7421204
01/01/2020 14:30,0,447.7712449
01/01/2020 15:00,0,428.9018343
01/01/2020 15:30,0,438.7690387
01/01/2020 16:00,0,429.4522877
01/01/2020 16:30,0,410.8216983
01/01/2020 17:00,0,382.7199979
01/01/2020 17:30,0,279.0882313
01/01/2020 18:00,0,184.9974744
01/01/2020 18:30,0,71.65868828
01/01/2020 19:00,32.23228655,0
01/01/2020 19:30,97.80777486,0
01/01/2020 20:00,182.5351815,0
01/01/2020 20:30,266.8111582,0
01/01/2020 21:00,341.9218313,0
01/01/2020 21:30,445.7749443,0
01/01/2020 22:00,520.7807692,0
01/01/2020 22:30,614.9996739,0
01/01/2020 23:00,718.6052285,0
01/01/2020 23:30,803.2627363,0
