,CHP1_Electricity_Generation_(kW),CHP2_Electricity_Generation_(kW),CHP1_Heat_Output_(kW),CHP2_Heat_Output_(kW),Boiler_Heat_Output_(kW),Feels-Like Temperature Deg C,Wind Speed ms,Site_Electricity_Demand_(kW),Day ahead UK electricity price,Site_Heat_Demand_(kW),Import_Electricity_(kW),Export_Electricity_(kW)
2020-01-01 00:00:00,0.0,1489.74609375,0.0,2343.75,232.5581395348837,1.2,2.5,2359.0859654086935,43.45,2576.3081395348836,869.3398716586935,0.0
2020-01-01 00:30:00,0.0,1488.8020833333333,0.0,2343.75,214.6690518783542,1.2,2.5,2344.1976443957133,42.285,2558.4190518783544,855.39556106238,0.0
2020-01-01 01:00:00,0.0,1489.9218750000002,0.0,2343.75,199.33554817275748,1.5,3.4,2348.521557669862,41.12,2543.0855481727576,858.5996826698617,0.0
2020-01-01 01:30:00,0.0,1489.9857954545455,0.0,2343.75,186.04651162790697,1.5,3.4,2351.1911460661154,35.55,2529.796511627907,861.2053506115699,0.0
2020-01-01 02:00:00,0.0,1490.625,0.0,2343.75,174.4186046511628,2.0,3.7,2342.0754783715915,29.98,2518.1686046511627,851.4504783715915,0.0
2020-01-01 02:30:00,0.0,1490.8052884615386,0.0,2343.75,164.15868673050616,2.0,3.7,2411.1274959257134,28.54,2507.9086867305064,920.3222074641749,0.0
2020-01-01 03:00:00,0.0,1491.127232142857,0.0,2343.75,155.03875968992247,2.6,3.2,2429.5579831338327,27.1,2498.7887596899227,938.4307509909756,0.0
2020-01-01 03:30:00,79.53125,1490.4687499999998,0.0,2343.75,146.87882496940026,2.6,3.2,2391.8933257878543,26.735,2490.6288249694003,821.8933257878546,0.0
2020-01-01 04:00:00,161.71875,1490.3125,93.75,2343.75,139.53488372093022,2.4,4.1,2370.4063947936197,26.37,2577.0348837209303,718.3751447936197,0.0
2020-01-01 04:30:00,235.00000000000003,1490.625,218.74999999999997,2343.75,132.89036544850498,2.4,4.1,2340.324691401691,26.345,2695.390365448505,614.6996914016909,0.0
2020-01-01 05:00:00,316.40625,1491.25,343.75,2343.75,126.84989429175478,3.6,2.6,2328.387507516005,26.32,2814.349894291755,520.7312575160049,0.0
2020-01-01 05:30:00,404.84375,1490.78125,468.75,2343.75,121.33468149646109,3.6,2.6,2312.948749690517,26.28,2933.834681496461,417.32374969051716,0.0
2020-01-01 06:00:00,501.56249999999994,1491.4062500000002,593.75,2343.75,116.27906976744185,2.2,4.4,2326.159233190677,26.24,3053.779069767442,333.19048319067656,0.0
