,CHP1_Electricity_Generation_(kW),CHP2_Electricity_Generation_(kW),CHP1_Heat_Output_(kW),CHP2_Heat_Output_(kW),Boiler_Heat_Output_(kW),Feels-Like Temperature Deg C,Wind Speed ms,Energy Usage KW,Day ahead UK electricity price,Site_Heat_Demand_(kW),Import_Electricity_(kW),Export_Electricity_(kW)
01/01/2020 00:00,0,1489.746094,0,2343.75,232.5581395,1.2,2.5,0,43.45,2576.30814,0,0
01/01/2020 00:30,0,1488.802083,0,2343.75,214.6690519,1.2,2.5,0,42.285,2558.419052,0,0
01/01/2020 01:00,0,1489.921875,0,2343.75,199.3355482,1.5,3.4,0,41.12,2543.085548,0,0
01/01/2020 01:30,0,1489.985795,0,2343.75,186.0465116,1.5,3.4,0,35.55,2529.796512,0,0
01/01/2020 02:00,0,1490.625,0,2343.75,174.4186047,2,3.7,0,29.98,2518.168605,0,0
01/01/2020 02:30,0,1490.805288,0,2343.75,164.1586867,2,3.7,0,28.54,2507.908687,0,0
01/01/2020 03:00,0,1491.127232,0,2343.75,155.0387597,2.6,3.2,0,27.1,2498.78876,0,0
01/01/2020 03:30,79.53125,1490.46875,0,2343.75,146.878825,2.6,3.2,0,26.735,2490.628825,0,0
01/01/2020 04:00,161.71875,1490.3125,93.75,2343.75,139.5348837,2.4,4.1,0,26.37,2577.034884,0,0
01/01/2020 04:30,235,1490.625,218.75,2343.75,132.8903654,2.4,4.1,0,26.345,2695.390365,0,0
01/01/2020 05:00,316.40625,1491.25,343.75,2343.75,126.8498943,3.6,2.6,0,26.32,2814.349894,0,0
01/01/2020 05:30,404.84375,1490.78125,468.75,2343.75,121.3346815,3.6,2.6,0,26.28,2933.834681,0,0
01/01/2020 06:00,501.5625,1491.40625,593.75,2343.75,116.2790698,2.2,4.4,0,26.24,3053.77907,0,0
01/01/2020 06:30,595.3125,1491.71875,718.75,2343.75,108.5271318,2.2,4.4,0,26.58,3171.027132,0,0
01/01/2020 07:00,670.78125,1492.5,812.5,2343.75,100.7751938,2.4,3.3,0,26.92,3257.025194,0,0
01/01/2020 07:30,751.71875,1491.71875,906.25,2343.75,85.27131783,2.4,3.3,0,27.445,3335.271318,0,0
01/01/2020 08:00,845.9375,1492.34375,1031.25,2343.75,85.27131783,2.3,3.1,0,27.97,3460.271318,0,-42.36288265
