,CHP1_Electricity_Generation_(kW),CHP2_Electricity_Generation_(kW),CHP1_Heat_Output_(kW),CHP2_Heat_Output_(kW),Boiler_Heat_Output_(kW),Feels-Like Temperature Deg C,Wind Speed ms,Site_Electricity_Demand_(kW),Day ahead UK electricity price,Site_Heat_Demand_(kW),Import_Electricity_(kW),Export_Electricity_(kW)
01/01/2020 00:00,0,1489.746094,0,2343.75,232.5581395,1.2,2.5,2359.085965,43.45,2576.30814,869.3398717,0
01/01/2020 00:30,0,1488.802083,0,2343.75,214.6690519,1.2,2.5,2344.197644,42.285,2558.419052,855.3955611,0
01/01/2020 01:00,0,1489.921875,0,2343.75,199.3355482,1.5,3.4,2348.521558,41.12,2543.085548,858.5996827,0
01/01/2020 01:30,0,1489.985795,0,2343.75,186.0465116,1.5,3.4,2351.191146,35.55,2529.796512,861.2053506,0
01/01/2020 02:00,0,1490.625,0,2343.75,174.4186047,2,3.7,2342.075478,29.98,2518.168605,851.4504784,0
01/01/2020 02:30,0,1490.805288,0,2343.75,164.1586867,2,3.7,2411.127496,28.54,2507.908687,920.3222075,0
01/01/2020 03:00,0,1491.127232,0,2343.75,155.0387597,2.6,3.2,2429.557983,27.1,2498.78876,938.430751,0
01/01/2020 03:30,79.53125,1490.46875,0,2343.75,146.878825,2.6,3.2,2391.893326,26.735,2490.628825,821.8933258,0
01/01/2020 04:00,161.71875,1490.3125,93.75,2343.75,139.5348837,2.4,4.1,2370.406395,26.37,2577.034884,718.3751448,0
01/01/2020 04:30,235,1490.625,218.75,2343.75,132.8903654,2.4,4.1,2340.324691,26.345,2695.390365,614.6996914,0
01/01/2020 05:00,316.40625,1491.25,343.75,2343.75,126.8498943,3.6,2.6,2328.387508,26.32,2814.349894,520.7312575,0
01/01/2020 05:30,404.84375,1490.78125,468.75,2343.75,121.3346815,3.6,2.6,2312.94875,26.28,2933.834681,417.3237497,0
01/01/2020 06:00,501.5625,1491.40625,593.75,2343.75,116.2790698,2.2,4.4,2326.159233,26.24,3053.77907,333.1904832,0
01/01/2020 06:30,595.3125,1491.71875,718.75,2343.75,108.5271318,2.2,4.4,2326.477558,26.58,3171.027132,239.4463081,0
01/01/2020 07:00,670.78125,1492.5,812.5,2343.75,100.7751938,2.4,3.3,2308.651363,26.92,3257.025194,145.3701135,0
01/01/2020 07:30,751.71875,1491.71875,906.25,2343.75,85.27131783,2.4,3.3,2285.254483,27.445,3335.271318,41.81698308,0
01/01/2020 08:00,845.9375,1492.34375,1031.25,2343.75,85.27131783,2.3,3.1,2295.918367,27.97,3460.271318,0,-42.36288265
01/01/2020 08:30,927.8125,1491.71875,1156.25,2375,85.27131783,2.3,3.1,2273.635624,30.285,3616.521318,0,-145.8956259
01/01/2020 09:00,1011.875,1491.25,1281.25,2375,85.27131783,1.9,3.3,2263.290065,32.6,3741.521318,0,-239.8349353
01/01/2020 09:30,1090.9375,1490.15625,1406.25,2375,85.27131783,1.9,3.3,2256.764404,35.3,3866.521318,0,-324.3293458
01/01/2020 10:00,1168.125,1489.21875,1500,2375,85.27131783,1.9,3.5,2191.189474,38,3960.271318,0,-466.1542759
01/01/2020 10:30,1242.1875,1488.90625,1625,2375,15.50387597,1.9,3.5,2161.266933,41.265,4015.503876,0,-569.8268169
01/01/2020 11:00,1230.15625,1489.0625,1718.75,2375,69.76744186,3,2.1,2168.270081,44.53,4163.517442,0,-550.948669
01/01/2020 11:30,1209.84375,1488.4375,1718.75,2375,69.76744186,3,2.1,2166.041807,42.265,4163.517442,0,-532.2394433
01/01/2020 12:00,1205.3125,1487.8125,1718.75,2375,69.76744186,2.7,2.4,2179.88894,40,4163.517442,0,-513.23606
01/01/2020 12:30,1189.375,1487.34375,1687.5,2375,69.76744186,2.7,2.4,2182.276377,40,4132.267442,0,-494.4423732
01/01/2020 13:00,1190.3125,1487.8125,1687.5,2375,69.76744186,1.6,4,2193.258586,40,4132.267442,0,-484.8664141
01/01/2020 13:30,1163.125,1486.71875,1687.5,2375,69.76744186,1.6,4,2193.099423,39.845,4132.267442,0,-456.7443265
01/01/2020 14:00,1133.75,1486.71875,1656.25,2375,69.76744186,2,4.2,2172.72663,39.69,4101.017442,0,-447.7421204
01/01/2020 14:30,1132.8125,1486.09375,1656.25,2375,69.76744186,2,4.2,2171.135005,38.345,4101.017442,0,-447.7712449
